paper_ID,Include_Exclude,year,pubmed_id,url
1,Exclude: Publication,2021,34059094,https://pubmed.ncbi.nlm.nih.gov/34059094/
6,Exclude: Outcome,2021,33812497,https://pubmed.ncbi.nlm.nih.gov/33812497/
13,Exclude: Study design,2021,33636453,https://pubmed.ncbi.nlm.nih.gov/33636453/
17,Exclude: Outcome,2021,33581820,https://pubmed.ncbi.nlm.nih.gov/33581820/
27,Exclude: Not in English,2020,33472996,https://pubmed.ncbi.nlm.nih.gov/33472996/
35,Exclude: Publication,2020,33285743,https://pubmed.ncbi.nlm.nih.gov/33285743/
42,Exclude: Patient,2020,33203399,https://pubmed.ncbi.nlm.nih.gov/33203399/
46,Exclude: Study design,2021,33166719,https://pubmed.ncbi.nlm.nih.gov/33166719/
49,Exclude: Study design,2021,33069888,https://pubmed.ncbi.nlm.nih.gov/33069888/
50,Exclude: Patient,2020,33030582,https://pubmed.ncbi.nlm.nih.gov/33030582/
58,Exclude: Outcome,2020,32961445,https://pubmed.ncbi.nlm.nih.gov/32961445/
59,Exclude: Publication,2020,32955174,https://pubmed.ncbi.nlm.nih.gov/32955174/
61,Exclude: Outcome,2020,32926507,https://pubmed.ncbi.nlm.nih.gov/32926507/
66,Exclude: Study design,2020,32880601,https://pubmed.ncbi.nlm.nih.gov/32880601/
67,Exclude: Study design,2020,32878814,https://pubmed.ncbi.nlm.nih.gov/32878814/
68,Exclude: Outcome,2020,32861806,https://pubmed.ncbi.nlm.nih.gov/32861806/
70,Exclude: Outcome,2020,32828825,https://pubmed.ncbi.nlm.nih.gov/32828825/
78,Exclude: Publication,2020,32698790,https://pubmed.ncbi.nlm.nih.gov/32698790/
87,Exclude: Outcome,2020,32594273,https://pubmed.ncbi.nlm.nih.gov/32594273/
89,Exclude: Outcome,2020,32583557,https://pubmed.ncbi.nlm.nih.gov/32583557/
90,Exclude: Outcome,2020,32578279,https://pubmed.ncbi.nlm.nih.gov/32578279/
91,Exclude: Intervention,2020,32565388,https://pubmed.ncbi.nlm.nih.gov/32565388/
103,Exclude: Publication,2020,32449003,https://pubmed.ncbi.nlm.nih.gov/32449003/
111,Exclude: Publication,2020,32374623,https://pubmed.ncbi.nlm.nih.gov/32374623/
116,Exclude: Publication,2020,32334548,https://pubmed.ncbi.nlm.nih.gov/32334548/
117,Exclude: Outcome,2020,32323103,https://pubmed.ncbi.nlm.nih.gov/32323103/
118,Exclude: Study design,2020,32319740,https://pubmed.ncbi.nlm.nih.gov/32319740/
129,Exclude: Study design,2020,32212800,https://pubmed.ncbi.nlm.nih.gov/32212800/
132,Exclude: Study design,2020,32173464,https://pubmed.ncbi.nlm.nih.gov/32173464/
134,Exclude: Study design,2020,32162804,https://pubmed.ncbi.nlm.nih.gov/32162804/
137,Exclude: Intervention,2020,32083990,https://pubmed.ncbi.nlm.nih.gov/32083990/
154,Exclude: Study design,2020,31864178,https://pubmed.ncbi.nlm.nih.gov/31864178/
157,Exclude: Study design,2020,31830211,https://pubmed.ncbi.nlm.nih.gov/31830211/
168,Exclude: Outcome,2020,31751012,https://pubmed.ncbi.nlm.nih.gov/31751012/
171,Exclude: Outcome,2020,31732098,https://pubmed.ncbi.nlm.nih.gov/31732098/
173,Exclude: Study design,2020,31707767,https://pubmed.ncbi.nlm.nih.gov/31707767/
188,Exclude: Study design,2020,31605792,https://pubmed.ncbi.nlm.nih.gov/31605792/
196,Exclude: Patient,2019,31562043,https://pubmed.ncbi.nlm.nih.gov/31562043/
197,Exclude: Outcome,2019,31553438,https://pubmed.ncbi.nlm.nih.gov/31553438/
199,Exclude: Outcome,2019,31533777,https://pubmed.ncbi.nlm.nih.gov/31533777/
208,Exclude: Study design,2020,31399906,https://pubmed.ncbi.nlm.nih.gov/31399906/
210,Exclude: Outcome,2019,31345627,https://pubmed.ncbi.nlm.nih.gov/31345627/
211,Exclude: Study design,2019,31340094,https://pubmed.ncbi.nlm.nih.gov/31340094/
213,Exclude: Study design,2019,31331699,https://pubmed.ncbi.nlm.nih.gov/31331699/
216,Exclude: Study design,2019,31216226,https://pubmed.ncbi.nlm.nih.gov/31216226/
227,Exclude: Publication,2019,31122212,https://pubmed.ncbi.nlm.nih.gov/31122212/
228,Exclude: Intervention,2019,31120501,https://pubmed.ncbi.nlm.nih.gov/31120501/
234,Exclude: Publication,2019,31074641,https://pubmed.ncbi.nlm.nih.gov/31074641/
254,Exclude: Study design,2019,30892987,https://pubmed.ncbi.nlm.nih.gov/30892987/
258,Exclude: Study design,2019,30851442,https://pubmed.ncbi.nlm.nih.gov/30851442/
261,Exclude: Study design,2019,30811280,https://pubmed.ncbi.nlm.nih.gov/30811280/
266,Exclude: Study design,2019,30783814,https://pubmed.ncbi.nlm.nih.gov/30783814/
286,Exclude: Intervention,2019,30591959,https://pubmed.ncbi.nlm.nih.gov/30591959/
292,Exclude: Study design,2019,30562710,https://pubmed.ncbi.nlm.nih.gov/30562710/
293,Exclude: Study design,2019,30557850,https://pubmed.ncbi.nlm.nih.gov/30557850/
296,Exclude: Study design,2018,30527177,https://pubmed.ncbi.nlm.nih.gov/30527177/
297,Exclude: Study design,2019,30508156,https://pubmed.ncbi.nlm.nih.gov/30508156/
298,Exclude: Study design,2019,30516328,https://pubmed.ncbi.nlm.nih.gov/30516328/
300,Exclude: Publication,2018,30509312,https://pubmed.ncbi.nlm.nih.gov/30509312/
