ID,Inclusion_Exlusion,PFS_Paper,Final_judge_PFS,ORR_Paper,Final_judge_ORR,Blinding_Central,Trial_phase,Trial_number,Trial_name,Tumor_pre,Tumor,Funding,Industry_name,Trial_arm,Treatment_line,Treatment_line_re,Drug_name_intervention,Drug_classification_intervention,Drug_name_control,Drug_classification_control,Primary_outcome,Response_criteria,Randomized_patient_number_intervention,Randomized_patient_number_control,Follow_up_period_months_median,PFS_INV_HR,PFS_INV_95%CI_lower,PFS_INV_95%CI_upper,PFS_CNT_HR,PFS_CNT_95%CI_lower,PFS_CNT_95%CI_upper,ORR_N_INV_intervention,CR+PR_INV_intervention,ORR_N_INV_control,CR+PR_INV_control,ORR_N_CNT_intervention,CR+PR_CNT_intervention,ORR_N_CNT_control,CR+PR_CNT_control,Median_OS_intervention,Median_OS_control,OS_HR,OS_95%CI_lower,OS_95%CI_upper,title,journal,IF_2021,year,Authors,authors,url,pubmed_id,PFS_SE_INT,PFS_SE_CNT,RHR,lnRHR,lnRHR_SE_p_0,lnRHR_SE_p_0.25,lnRHR_SE_p_0.5,lnRHR_SE_p_0.75,lnRHR_SE_p_0.95,ORR_INT,ORR_INV_95%CI_lower,ORR_INV_95%CI_upper,ORR_CENT,ORR_CNT_95%CI_lower,ORR_CNT_95%CI_upper,ORR_SE_INT,ORR_SE_CNT,ROR,lnROR,lnROR_SE_p_0,lnROR_SE_p_0.25,lnROR_SE_p_0.5,lnROR_SE_p_0.75,lnROR_SE_p_0.95
4,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Investigator + Central,Blinding,Phase 3,NCT02574455,ASCENT,Breast cancer,Breast cancer,Industry,Immunomedics,2,≥3,≥3,Sacituzumab Govitecan,Target therapy,"eribulin, vinorelbine, capecitabine, and gemcitabine",Chemotherapy,PFS,RECIST 1.1,267,262,17.7,0.35,0.28,0.44,0.41,0.32,0.52,235,80,233,15,235,82,233,11,12.1,6.7,0.48,0.38,0.59,Sacituzumab Govitecan in Metastatic Triple-Negative Breast Cancer.,The New England journal of medicine,176.08,2021,Bardia A and Hurvitz SA and Tolaney SM and Loirat D and Punie K and Oliveira M and Brufsky A and Sardesai SD and Kalinsky K and Zelnak AB and Weaver R and Traina T and Dalenc F and Aftimos P and Lynce F and Diab S and Cortﾃｩs J and O'Shaughnessy J and Diﾃｩras V and Ferrario C and Schmid P and Carey LA and Gianni L and Piccart MJ and Loibl S and Goldenberg DM and Hong Q and Olivo MS and Itri LM and Rugo HS,Bardia,https://pubmed.ncbi.nlm.nih.gov/33882206/,33882206,0.040816327,0.051020408,0.853658537,-0.158224005,0.169217164,0.146608729,0.119807304,0.084932096,0.038745291,7.501075269,4.16358163,13.51387704,10.81639929,5.578229935,20.97340821,2.385279441,3.927341398,0.693490973,-0.366017056,0.452050993,0.391936654,0.320746912,0.228348028,0.10749053
11,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Investigator + Central,Blinding,Phase 3,NCT02631876,FORWARD I,Ovarian cancer,Ovarian cancer,Industry,ImmunoGen,2,≥2,≥2,mirvetuximab soravtansine,Target therapy,Investigator choice,Chemotherapy,PFS,RECIST 1.1,248,118,12.5,0.809,0.680738384,0.961428083,0.981,0.73,1.31,248,72,118,19,248,55,118,14,16.4,14,0.815,0.58,1.15,"Phase III, randomized trial of mirvetuximab soravtansine versus chemotherapy in patients with platinum-resistant ovarian cancer: primaryﾂanalysis of FORWARD I.",Annals of oncology : official journal of the European Society for Medical Oncology,51.77,2021,Moore KN and Oza AM and Colombo N and Oaknin A and Scambia G and Lorusso D and Konecny GE and Banerjee S and Murphy CG and Tanyi JL and Hirte H and Konner JA and Lim PC and Prasad-Hayes M and Monk BJ and Pautier P and Wang J and Berkenblit A and Vergote I and Birrer MJ,Moore,https://pubmed.ncbi.nlm.nih.gov/33667670/,33667670,0.071604515,0.147959184,0.824668705,-0.192773543,0.173227288,0.153097842,0.129885354,0.101496114,0.071038481,2.131578947,1.21478535,3.74027297,2.116950407,1.123736828,3.988014732,0.644257046,0.730683139,1.006910195,0.006886429,0.432100009,0.37464792,0.306613292,0.218317103,0.1028731
14,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Investigator + Central,Unclear,Phase 3,NCT02811861,CLEAR,Renal cell cancer,Renal cell cancer,Industry,Eisai and Merck Sharp and Dohme,3,1,1,Lenvatinib plus Pembrolizumab,Immune checkpoint inhibitor and target therapy,Sunitinib,Target therapy,PFS,RECIST 1.1,355,357,26.6,0.47,0.38,0.58,0.39,0.32,0.49,355,244,357,122,355,252,357,129,Not reached,Not reached,0.66,0.49,0.88,Lenvatinib plus Pembrolizumab or Everolimus for Advanced Renal Cell Carcinoma.,The New England journal of medicine,176.08,2021,Motzer R and Alekseev B and Rha SY and Porta C and Eto M and Powles T and Grﾃｼnwald V and Hutson TE and Kopyltsov E and Mﾃｩndez-Vidal MJ and Kozlov V and Alyasova A and Hong SH and Kapoor A and Alonso Gordoa T and Merchan JR and Winquist E and Maroto P and Goh JC and Kim M and Gurney H and Patel V and Peer A and Procopio G and Takagi T and Melichar B and Rolland F and De Giorgi U and Wong S and Bedke J and Schmidinger M and Dutcus CE and Smith AD and Dutta L and Mody K and Perini RF and Xing D and Choueiri TK,Motzer,https://pubmed.ncbi.nlm.nih.gov/33616314/,33616314,0.051020408,0.043367347,1.205128205,0.186585956,0.15313685,0.132621041,0.10828567,0.076571745,0.034251843,4.234234234,3.095195916,5.792440943,4.324226688,3.156045577,5.924799243,0.688072711,0.706314711,0.979188775,-0.02103083,0.226659006,0.196292861,0.160273111,0.113331605,0.050688448
15,Inclusion,Investigator + Central,Central,Investigator + Central,Investigator + Central,Unclear,Phase 2,NCT01630083,FAST,Gastric and Gastroesophageal Junction Adenocarcinoma,Gastric and gastroesophageal junction cancer,Industry,Astellas Pharma,3,1,1,Zolbetuximab (IMAB362) plus EOX 600/800,Target therapy and chemotherapy,"EOX (epirubicin, oxaliplatin, capecitabine)",Chemotherapy,PFS,RECIST 1.1,77,84,NA,NA,NA,NA,0.44,0.29,0.67,77,29,84,22,77,30,84,21,13.0,8.3,0.55,0.39,0.77,FAST: a randomised phase II study of zolbetuximab (IMAB362) plus EOX versus EOX alone for first-line treatment of advanced CLDN18.2-positive gastric and gastro-oesophageal adenocarcinoma.,Annals of oncology : official journal of the European Society for Medical Oncology,51.77,2021,Sahin U and Tﾃｼreci ﾃ and Manikhas G and Lordick F and Rusyn A and Vynnychenko I and Dudov A and Bazin I and Bondarenko I and Melichar B and Dhaene K and Wiechen K and Huber C and Maurus D and Arozullah A and Park JW and Schuler M and Al-Batran SE,Sahin,https://pubmed.ncbi.nlm.nih.gov/33610734/,33610734,#VALUE!,0.096938776,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.702651515,0.871143219,3.32783648,1.914893617,0.97637265,3.755551291,0.626707465,0.708974143,0.889162458,-0.117475318,0.4847697,0.419823791,0.342786185,0.242389609,0.108411277
18,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Investigator + Central,Blinding,Phase 3,NCT03080805,PHOEBE,Breast cancer,Breast cancer,Industry and Public,Jiangsu Hengrui Medicine and National Key R&D Program of China.,2,"1, 2, 3",≥1,Pyrotinib plus capecitabine,Target therapy and chemotherapy,lapatinib plus capecitabine,Target therapy and chemotherapy,PFS,RECIST 1.1,134,133,21.8/21.5,0.42,0.3,0.6,0.39,0.27,0.56,134,93,132,60,134,90,132,68,26.8,Not reached,In progress,In progress,In progress,"Pyrotinib plus capecitabine versus lapatinib plus capecitabine for the treatment of HER2-positive metastatic breast cancer (PHOEBE): a multicentre, open-label, randomised, controlled, phase 3 trial.",The Lancet. Oncology,54.43,2021,Xu B and Yan M and Ma F and Hu X and Feng J and Ouyang Q and Tong Z and Li H and Zhang Q and Sun T and Wang X and Yin Y and Cheng Y and Li W and Gu Y and Chen Q and Liu J and Cheng J and Geng C and Qin S and Wang S and Lu J and Shen K and Liu Q and Wang X and Wang H and Luo T and Yang J and Wu Y and Yu Z and Zhu X and Chen C and Zou J,Xu,https://pubmed.ncbi.nlm.nih.gov/33581774/,33581774,0.076530612,0.073979592,1.076923077,0.074107972,0.256709843,0.222365635,0.181639774,0.12860614,0.058109938,2.72195122,1.64701959,4.49843978,1.92513369,1.171746076,3.162920534,0.72740311,0.507952668,1.413902439,0.346353569,0.360371688,0.312094643,0.254830098,0.180204582,0.080634616
22,Inclusion,Investigator + Central,Investigator + Central,Unclear,Central,Blinding,Phase 3,"NCT01802749, EudraCT 2012-004362-17",MITO16b/MANGO–OV2/ENGOT–ov17,Ovarian cancer,Ovarian cancer,Industry and Public,Hoffmann–La Roche and Associazione Italiana per la Ricerca sul Cancro.,2,2,2,carboplatin-based doublet plus bevacizumab,Target therapy and chemotherapy,carboplatin-based doublet,Chemotherapy,PFS,RECIST 1.1,203,203,20.1,0.51,0.41,0.65,0.52,0.42,0.66,NA,NA,NA,NA,130,90,143,71,26.7,27.1,0.99,0.73,1.39,"Carboplatin-based doublet plus bevacizumab beyond progression versus carboplatin-based doublet alone in patients with platinum-sensitive ovarian cancer: a randomised, phase 3 trial.",The Lancet. Oncology,54.43,2021,Pignata S and Lorusso D and Joly F and Gallo C and Colombo N and Sessa C and Bamias A and Salutari V and Selle F and Frezzini S and De Giorgi U and Pautier P and Bologna A and Orditura M and Dubot C and Gadducci A and Mammoliti S and Ray-Coquard I and Zafarana E and Breda E and Favier L and Ardizzoia A and Cinieri S and Largillier R and Sambataro D and Guardiola E and Lauria R and Pisano C and Raspagliesi F and Scambia G and Daniele G and Perrone F,Pignata,https://pubmed.ncbi.nlm.nih.gov/33539744/,33539744,0.06122449,0.06122449,0.980769231,-0.019418086,0.164662628,0.142606466,0.116444955,0.082354422,0.036885084,#VALUE!,#VALUE!,#VALUE!,2.281690141,1.389222262,3.747499621,#VALUE!,0.601601367,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
23,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Investigator + Central,Blinding,Phase 2,NTR4132/NL3847,NVALT19,Malignant mesothelioma,Malignant mesothelioma,Public,Dutch Cancer Society and Stichting NVALT studies,2,2,2,Gemcitabine plus supportive care,Chemotherapy,supportive care,BSC,PFS,mRECIST,65,65,36.5,0.48,0.33,0.71,0.49,0.33,0.72,48,8,50,2,46,5,46,1,16.4,13.4,0.9,0.6,1.34,"Switch-maintenance gemcitabine after first-line chemotherapy in patients with malignant mesothelioma (NVALT19): an investigator-initiated, randomised, open-label, phase 2 trial.",The Lancet. Respiratory medicine,54.43,2021,de Gooijer CJ and van der Noort V and Stigt JA and Baas P and Biesma B and Cornelissen R and van Walree N and van Heemst RC and Soud MY and Groen HJM and den Brekel AJS and Buikhuisen WA and Bootsma GP and Dammeijer F and van Tinteren H and Lalezari F and Aerts JG and Burgers JA,de,https://pubmed.ncbi.nlm.nih.gov/33515500/,33515500,0.096938776,0.099489796,0.979591837,-0.020619287,0.27894535,0.241580346,0.197260283,0.139506898,0.062470945,4.8,0.963955032,23.90152987,5.487804878,0.615175944,48.95510407,5.851422153,12.33161432,0.874666667,-0.133912418,1.384718672,1.208390261,1.001483023,0.738735047,0.424191522
31,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Investigator + Central,Blinding,Phase 3,NCT03134872,CameL,Non-small cell lung cancer,Non-small cell lung cancer,Industry,Jiangsu Hengrui Medicine,2,1,1,Camrelizumab plus carboplatin and pemetrexed,Immune checkpoint inhibitor and chemotherapy,Chemotherapy,Chemotherapy,PFS,RECIST 1.1,209,210,11.9 (interim analysis),0.54,0.42,0.69,0.6,0.45,0.79,205,111,207,65,205,124,207,80,Not reached,20.9,0.73,0.53,1.02,"Camrelizumab plus carboplatin and pemetrexed versus chemotherapy alone in chemotherapy-naive patients with advanced non-squamous non-small-cell lung cancer (CameL): a randomised, open-label, multicentre, phase 3 trial.",The Lancet. Respiratory medicine,54.43,2021,Zhou C and Chen G and Huang Y and Zhou J and Lin L and Feng J and Wang Z and Shu Y and Shi J and Hu Y and Wang Q and Cheng Y and Wu F and Chen J and Lin X and Wang Y and Huang J and Cui J and Cao L and Liu Y and Zhang Y and Pan Y and Zhao J and Wang L and Chang J and Chen Q and Ren X and Zhang W and Fan Y and He Z and Fang J and Gu K and Dong X and Zhang T and Shi W and Zou J,Zhou,https://pubmed.ncbi.nlm.nih.gov/33347829/,33347829,0.068877551,0.086734694,0.9,-0.105360516,0.191441623,0.166009158,0.135897704,0.096836623,0.045876442,2.579705401,1.725712815,3.856307897,2.430246914,1.635860362,3.610393772,0.543519153,0.503707503,1.061499301,0.059682344,0.287851327,0.249291597,0.203553959,0.143951826,0.064439577
34,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Investigator + Central,Blinding,Phase 3,NCT03273153,IMspire170,Melanoma,Melanoma,Industry,Hoffmann-La Roche and Genentech Inc,2,1,1,cobimetinib plus atezolizumab,Immune checkpoint inhibitor and target therapy,Pembrolizmab,Immune checkpoint inhibitor,PFS,RECIST 1.1,222,224,7.1/7.2,1.32,1.02,1.71,1.15,0.88,1.5,222,62,221,81,204,53,206,65,Not reached,Not reached,1.06,0.69,1.61,Cobimetinib plus atezolizumab in BRAF(V600) wild-type melanoma: primary results from the randomized phase III IMspire170 study.,Annals of oncology : official journal of the European Society for Medical Oncology,51.77,2021,Gogas H and Drﾃｩno B and Larkin J and Demidov L and Stroyakovskiy D and Eroglu Z and Francesco Ferrucci P and Pigozzo J and Rutkowski P and Mackiewicz J and Rooney I and Voulgari A and Troutman S and Pitcher B and Guo Y and Yan Y and Castro M and Mulla S and Flaherty K and Arance A,Gogas,https://pubmed.ncbi.nlm.nih.gov/33309774/,33309774,0.176020408,0.158163265,1.147826087,0.137869794,0.189425349,0.164060841,0.133977446,0.094783715,0.042557608,0.669753086,0.448479253,1.000200552,0.761385634,0.495650968,1.16958933,0.140745229,0.171923051,0.87965028,-0.128230859,0.299724579,0.259668919,0.212181695,0.150380172,0.068474049
41,Inclusion,Investigator + Central,Investigator + Central,Investigator + Central,Investigator + Central,Blinding,Phase 3,NCT03052608,CROWN,Non-small cell lung cancer,Non-small cell lung cancer,Industry,Pfizer,2,1,1,Lorlatinib,Target therapy,Crizotinib,Target therapy,PFS,RECIST 1.1,149,147,18.3/14/8,0.21,0.14,0.31,0.28,0.19,0.41,149,120,147,91,149,113,147,85,NA,NA,0.72,0.41,1.25,First-Line Lorlatinib or Crizotinib in Advanced ALK-Positive Lung Cancer.,The New England journal of medicine,176.08,2020,Shaw AT and Bauer TM and de Marinis F and Felip E and Goto Y and Liu G and Mazieres J and Kim DW and Mok T and Polli A and Thurm H and Calella AM and Peltz G and Solomon BJ,Shaw,https://pubmed.ncbi.nlm.nih.gov/33207094/,33207094,0.043367347,0.056122449,0.75,-0.287682072,0.282170905,0.244389323,0.199579215,0.141200514,0.063420523,2.546419098,1.506817664,4.303274628,2.289542484,1.391653258,3.766746318,0.713381879,0.605891087,1.11219561,0.106336088,0.369030242,0.319662838,0.26112323,0.184895517,0.083589239
